ID	Сборник	НАЗВАНИЕ	ГОД	ТЕКСТ
434	ГАДАНИЕ ПО КНИГЕ	Последние семь слов Христа	1999	"Вступление 
Нам предзакатный ад загадан. Мат оскверняет нам уста. Повторим тайно, вслед за Гайдном, последние семь слов Христа. 
Пасхальное вино разлейте! Нас посещают неспроста перед кончиною столетья прощальные семь нот Христа. 
Не «Seven up» нас воскресили. В нас инвестирует, искрясь, распятая моя Россия the seven last words of Christ. 
Пройдут года. Мой ум затмится. Спадет харизма воровства. Темницы распахнет Седмица - последние семь снов Христа. 
Он больше не сказал ни звука. Его посредник - Красота. Душа по имени Разлука - последнее из слов Христа. 
I 
Мои Палестины дымятся дыбом. Абсурдный кругом театр. Боже, прости им, ибо не ведают, что творят. 
Будущий схимник, слезясь от гриппа, изобрел водородный заряд. Отче, прости им, ибо не ведают, что творят. 
На общей простынке в трехспальном клипе 
стало тесно троим. Боже, прости нам, ибо не ведаем, что творим. 
Джентльмены фригидны. После «Смирновской» дамам невмоготу. Father, forgive them, for they know not what they do. 
Тусовок люблю разодетый вздор, как полюбил христиан Диор. Наш творческий поиск неутомим, ибо не ведаем, что творим. 
Медведь воспитывает Пустынника. Клонируют дьяволят. Пробирку медик нес на крестины. Медведают, что творят. 
А в сердце бои между Духом и био - не сладишь с сердцем своим, ибо ибоибоибоибоибоибо не ведаем, что творим. 
В нынешнем августе крестообразно встанут планеты в ряд. Простишь, когда сами рабы соблазна Апокалипсис сотворят? 
Идет простывшая Магдалина, нимфетка, сквозь снегопад. Нет окаянного кокаина! Не ведают, что творят. 
Постыдные толпы вопят до хрипа, но снова не Тот распят. Боже, прости им, ибо не ведают, что творят. 
И телевизор, как вещая рыба, транслирует все подряд. 
II 
Нанижи жемчуга из Китежа, сны нижи на печаль свою. Говорю тебе истинно, ныне же будешь со Мной в раю. 
И не после земного финиша, после Судного интервью, — обещаю: при жизни, ныне же будешь со мной в раю. 
Нету рая, кроме любви. Завтра друг мой меня продаст. This day shalt thou be with me in Paradise. 
Мы с тобой не в телепрограмме, чтобы всем про оргазм орать. Мы уже за райской оградой. Души сбросили маскарад. 
В католических трубках органа, на затылке темного зала, гарнитурой простого ограна мне твой гребень блеснет опять. 
Будто жребий мне предсказала. Будто сплю я. И сон мой странный. Будто сплющенные перстами, будут смятые трубки органа папиросы напоминать. 
Мы родные с тобой отныне. Данте с эросом пародиста комментирует по-латыни: шесиш eris in Paradiso. 
Вздрогнут раны мои занывшие. Будем с Богом наедине. Ныне же, ныне же, ныне же жены лучше не надо мне. 
Молитва Марии 
За тебя я боялась во сне и в толпе, где тебя оборжали. Ты — мой Дух. Я тебя обожаю. Обожаю, когда Ты во мне. 
В нашей Богом забытой стране Ты - единственный нравственный кодекс. Я люблю, когда Ты в меня входишь. Обожаю, когда Ты во мне. 
Я Тебя затаю. Никому не отдам. Я Тебя обожаю. Никому — никакому Бежару, никакому Камю. 
Даже ежели Ты на Луне, в суматохе, на абордаже, Ты со мной. Я Тебя обожаю. Обожаю, когда Ты во мне. 
Мой товарищ по жизни в огне. Ощущаю меж наших пожарищ - Боже мой! —ты меня обожаешь. Обожаешь, когда ты во мне. 
III 
Жено! Истинно говорю - ее, сын Твой! Ученик! Се, Матерь твоя! Женоненавистники пахнут псиной, прах в семантике растворя. 
Ученица моя, Магдалина, мандарины дари с куста. Смерть моя нас не отдалила. Звон малиновый пьют уста. 
Словно грешница, ноги осине я в слезах смываю сам. Матерь Божия, утешь Сына! Mother, behold thy son. 
И бессмертней сфинкса рябого, тишиной слова заглуша, безутешно творит работу вечно женственная душа. 
Что натворила ты непоправимо! В палате пахнет яблоко —апорт. Но никому не скажешь, Магдалина, что ты от Бога сделала аборт. 
Вновь как мадонна Возрожденья, прощеным светом даришь ты. Все обошлось без зараженья. Но только вместо дня рожденья стоят прощальные цветы. 
Если любила, что ж ты, Магдалина, убила неповинного мальца?! Он бы назвал Отцом Господня сына и Богом-дедом звал Его Отца. 
IV 
Господи, Боже мой, Отче! Для чего Ты меня оставил? Погляди на земные корчи очной ставкою из астрала. 
Отче! Дух мой меня оставил. Не достать луны кочергой. Нож на Каина поднял Авель. Отче, Господи, отчего? 
Отчего мы под фарисеями? Луна клеит скотч на чело. Му God, why has Thou forsaken me? Для чего? 
Длятся годы мои вне правил. Новый век объявил «очко». Для чего Ты Россию оставил? Чтоб спасать людей? Для чего? 
Над отчизной хохочет дьявол. Реет пепл родных очагов. Для чего Ты меня оставил? Отче, Господи, отчего? 
V 
Жажду. 
Пить! Ненасытно. Волгу выпил бы дважды. 
Citio! Жажду. Нутро мое оросите! 
Москва горит, Нью-Йорк-сити, трещат, как кассеты-видео... Citio. Все на продажу! 
Жаждет клеточкой каждой, жаждет, сжатый, как дайджест, внутри пересохший торс. I thirst. 
Снежку бы... грязного даже... с обочины лавки Сытина... Боже, спаси Россию! Citio. 
Жажду любви, хоть росиночку... 
Мы кончили с жизнью тяжбу. Как женщина, жизнь ушла. Винною губкой страждущие освежите мои уста! 
Пожарища. Душно. Тяжко. Страдания остужа, рождается — жажду, жажду, жажду, жажду! — 
ДУША . 
VI 
К духовным вершинам Ты душу вынешь из казематных мест. Свершилось! 
It’s finished! Consumatum est! 
Кончено, Отче. Корчатся мощи. Страдания —Божий тест. Мне тело, как силос. Мне жизнь как приснилась. Прощаясь, целую крест. 
It’s finished. Свершилось. Consumatum est. 
Малиновый звон окрест. 
VII 
Окончены муки. В очи светится путь домой. Я в Твои руки, Отче, передаю дух Мой. 
Сложишь ладони домиком — ныне же мы в раю. Вырвавшись от подонков, дух Мой передаю. 
Что ж я страшусь разлуки с жизнью? Пропел петух. Боже, я в Твои руки передаю Мой дух. 
Хватит играть комедь. Сад мой вишневый спилят. 
353 
Into Thy hands, I commend my spirit. 
Гаснет все, что имеем. Манитаризм лукав. In manus commendo spiritum. Дух Мой в Твоих руках. 
Века без возлюбленной женщины мне пребывать в бессоннице. Одна без меня во Всенощной к колонне она прислонится. 
Над брошенными погостами останется мыслить камень. К Тебе возвращаюсь, Господи. 
Амен. 
Землетрясение 
Землетрясение. Семь летросетов. Распад России. Псы пахнут серой. Семей крушенье. Тоска в семь серий. Семь семафоров жизни смертельной. Сергей-есенинские уста... 
Се, Революция сейчас —в смирении. Ева, вкусившая семиренку, опять чиста. 
Над недоразвитыми детьми смилуйся, государыня СМИ! У Мироносицы - усы Хусейна. Будя дремоту, под новый век ерусалимский пел кукарек. 
И terremoto? The Earthquake? 
Армения и Македония. Кресты. Серны. И магендовины. Я чую в наших закидонах аромат Армагедона. 
Смятенье духа. Духотрясенье. 
Над маросейками, как наседка, замрет трассирующая звезда, над куполами, вместо бассейна, над планетария зрачком базедовым вздохнет внимательная слюда. 
Мой семидневник, мой собеседник... Прочту с листа: «Не в супербоингах спасетесь семьями. Смысл в сердоболии, 
в любви —спасение». А математика любви проста. 
Семь отрешений, семь милосердий. 
Со, Матерь Божия!.. Читаю сердцем. 
Это последние семь слов Христа. 
СЕ се Семь се
се
Семь се
Се
семь се
Семь сем сме
Се —  се
Се, се см
сем см СМ Се
см СМ се
Се СМ се се
се се
сем се
се семь
См се
се
Семь се
се Семь семь се
Се, Матерь Божия!., 
се
се
Это последние семь слов Христа."
435	БЕЗОТЧЕТНОЕ	"""С Богом"" - скажу прошлогодним разборкам..."""	2001	"«С Богом» — скажу прошлогодним разборкам. «С Богом!» — надеждам, вышедшим боком. 
Будем втроем в нашем быте убогом — 
Ты, я и Бог — 
В этом вздохе глубоком 
Встретим молением Третий миллениум - с Богом... "
436	БЕЗОТЧЕТНОЕ	"""На стреме замрут века, дыханье затая..."""	2001	"На стреме замрут века, дыханье затая. 
Нас трое - Бог, ты и я. 
Закрою твои глаза - ты видишь сквозь пупок. 
Нас трое — Ты, я и Бог. 
Настройте тычинки, сумасшедшие цветы. 
Мы трое, Бог, я и ты - мир Трое! - 
решили спор войны и красоты. 
Гастроли кончаются. Грядущее темно. 
Мы — трое. Но мы — одно. "
437	БЕЗОТЧЕТНОЕ	Распятия	1990	"I 
В минуту сегодняшней скверны - не плоскость с двухмерных холстов — 
явился мне многомерный 
Христос. 
Шли муки, подобно мосту, перпендикулярно кресту. Распинали Его не в одной плоскости, тело Его было раздираемо во все стороны, как стрелки указателя на перекрестке дорог или тесовая крестовина, в которую вставляют рождественскую елку, таким образом Его, вероятно, видели с неба. И мук этих веерный вектор сменил плоскостное бревно, на Юг, Восток, Запад и Север растягивали Его. Мужчины, и бабы, и леди, сменяющаяся толпа, второе тысячелетье мы тянем Его на себя. И, как медицинские банки иль тянет рогатку дитя, вытягивались лопатки. Мы тянем Его на себя. 
II 
Тянули Его вертолеты, крюком за губу зацепя, суда, уходящие в море, тянули Его на себя, 
и рокер в пыльце желторотый, 
и баба, от мужа уйдя. Не на деревяшках же Его распинали! - Поперечники болевой 
энергии. Бруски беспредела. Растяжение истории. Художники никогда не изображали распятие в профиль, иначе бы им при­шлось давать поперечное сечение, где 
ребра, как новые руки, стояли креста поперек, указывающие муки не понятых нами дорог. И крест, разогнувшийся тайно из молота и серпа, 
голодной страны испытанья, прервав Иоганна Себа­стиана, гудят окаянно бастующие таксисты товарищу отпеванье. 
И крови ждут ястреба. Толпа, депутаты, путаны, мутанты из Тьмутаракани — все тянут Его на себя. 
III 
Ступни Его вдовы доили, впивалась в раскаянье бля, тянула ладонь экстрасенса, оттягивал зуммер мобильный в Чечне, где Его позабыли, покойники в автомобиле 
тянули Его на себя. Кто любит — сильнее тянули, кто продал — тянули вдвойне, тянули, кто в жизни тонули, тянул, кто давно на дне. 
Будучи в состоянии шока, я не понимал смысла виденного, мне было дано увидеть Его с точки зрения неба, но почему именно сейчас? Когда распятие отвернулось от меня темным силуэтом, я увидел за ним толпу, вернее, лишь глаза, тыщи глаз, глядящих в упор, и в каждом зрачке впечаталось по маленькому эмалевому крестику вверх ногами, каждый распинал Его в собственных зрачках, я купил холст, натянул, рисуя эти тысячи глаз, очей, гляделок, буркал, глазенок, голубых, зеленых, карих, изумлен­ных, серых, золотых, заплаканных, черных. 
Но главное — втягивал вакуум души, что покинула нас, чья тайна забыта за кваканьем. Как тянет сейчас! 
И вытянутое сердце, где вздутые жил провода, как третья ладонь, разжималось, просило гвоздя. Терновые новые ветки ты ставила, кровь соскребя. Шипы двадцать первого века тянули Его на себя. 
Дальше не помню, не стирайте память, разум не отнимите! «Прощаю, садисты невольные! — 
я слышал. — Печаль утоли. Страшней направление боли, которое изнутри». Меж толпами злых идиотов я видел себя самого, 
что натягивал на стадионы перепонки ушные Его. 
Летя над Ерусалимом, я видел, что смертным нельзя, над бьющимся компасом боли, что видят лишь небеса. Там ангел и клин журавлиный кричат и отводят глаза. 
Тащило бревно населенье, как будто тараня бревно, любя, мазохистски зверея, к страданьям иных измерений, что людям познать не дано. 
Ужель меж писательских профи я был на Голгофе в бистро потягивать черный свой кофе из чашек коленных Его?! 
«Прости, — повторяю над пропастью, — незрячие годы мои, что видел в одной только плоскости 
безмерные муки Твои». "
438	БЕЗОТЧЕТНОЕ	"""Еще немного дай побыть мне так..."""	1972	"Еще немного дай побыть мне так. В окно запах глухонемой табак. От рамы тень бретелькой на плечо. Мне так побыть немного дай еще. 
Дай мне немного так еще побыть, не убегай умыться и попить. Как, Боже, твой блашсловенен край! Еще немного так побыть мне дай. "
439	БЕЗОТЧЕТНОЕ	Женщина и стена	1981	"Держите шатенку! Она разбегалась и билась об стену — лицом, животом бесполезно красивого тела. Лоб всмятку и платье клочками, как пена - об стену! 
«Видать, она в стельку?» «Давай я тебя уложу, успокою, раздену» — об стену! 
За пошлость измены! За страшную цену красивою быть, да еще современной, за тело, что мучает нощно, а тут еще денно, - за съехавший с рамой портрет Рубинштейна, об все деловые постели, об все «невозможно», 
об «тесно» — об стену!
(И после удара с минуту наверно, две нижние доли дрожали, как после Шопена.) 
— Прости эту стену, что нас разделила с тобой постепенно. — Прости мне, любимый, что я не убила тебя, чтоб 
избавить от плена — 
об стену! Прости эту сцену. 
Стена победила. Мы тени системы, об стену!.. 
Будь благословенна та сила паденья, что, сбивши колени, бросает на стену! Ты вдруг вылетаешь таранящим креном — сквозь стену — оставив дыру с очертаньями тела. 
Сквозь тело летят облака и ночные сирены. Будь благословенна. "
440	БЕЗОТЧЕТНОЕ	"""Читаю небо, став душою зорче..."""	1987	"Читаю небо, став душою зорче. «Я + Ты» —написано окрест. Окончив труд, неграмотные зодчие ставили в небе крест. 
«Ястреб + облако» —написано над местностью. Гора + город. Даль + даль. + золотая неизвестность, + просветленная печаль. 
А к вечеру Луна + Солнце, подчеркнутые линией хлебов. «Я + Ты» —стоит над горизонтом. «Небо + Я = любовь». "
441	БЕЗОТЧЕТНОЕ	Безотчетное	1979	"Изменяйте дьяволу, изменяйте черту, но не изменяйте чувству безотчетному! 
Есть в душе у каждого, но всегда отчетливо, тайное отечество безотчетное. 
Женщина замешана в нем темноочевая, ты —мое отечество безотчетное! 
Гуси ль быстротечные вытянут отточие — это безотчетное, это безотчетное, 
осень ли настояна на лесной рябине, 
женщины ль постукают четками грибными, 
иль перо обронит птица неученая — как письмо и отечество безотчетное... 
Шинами обуетесь, мантией почетною - только не обучитесь безотчетному. 
Без него вы маетесь, точно безотцовщина, значит, начинается безотчетное. 
Это безотчетное, безотчетное над рисковой пропастью вам пройти нашептывает... 
Когда черти с хохотом вас подвесят за ноги, «Что еще вам хочется?» - спросят вас под занавес. 
- Дайте света белого, дайте хлеба черного и еще отечество безотчетное! "
442	БЕЗОТЧЕТНОЕ	Монолог битника	1961	"Лежу бухой и эпохальный. Постигаю Мичиган. Как в губке время набухает в моих веснушчатых щеках. 
В лице, лохматом как берлога, лежат озябшие зрачки. Перебираю как брелоки прохожих, огоньки. 
Ракетодромами гремя, дождями атомными рея, плевало время на меня, плюю на время! 
Политика? К чему валандаться! Цивилизация душна. 
Вхожу, как в воду с аквалангом, в тебя, зеленая душа. 
Мы — битники. Среди хулы мы - как звереныши, волчата. Скандалы точно кандалы за нами с лязгом волочатся. 
Когда магнитофоны ржут, с опухшим носом скомороха, вы думали - я шут? Я - суд! Я — Страшный суд. Молись, эпоха. "
443	БЕЗОТЧЕТНОЕ	"Озеро (""Я ночью проснулся. Мне кто-то сказал..."")"	1975	"Я ночью проснулся. Мне кто-то сказал: «Мертвое море - священный Байкал». 
Я на себе почувствовал взор, будто я моря убийца и вор. 
Слышу — не спит иркутянин во мгле. Курит. И предок проснулся в земле. 
Когда ты болеешь, все мы больны. Байкал, ты — хрустальная печень страны! 
И кто-то добавил из глубины: «Байкал — заповедная совесть страны». 
Плыл я на лодке краем Байкала. Вечер посвечивал вполнакала. 
Ну, неужели наука солгала над запрокинутым взором Байкала? 
И неужели мы будем в истории — «Эти, Байкал загубили которые»? 
Надо вывешивать бюллетень, как себя чувствует омуль, тюлень, 
чтобы никто никогда не сказал: «Мертвое море — священный Байкал». "
444	БЕЗОТЧЕТНОЕ	"""Я так долго тебя не писал..."""	1979	"Я так долго тебя не писал — лоб и дом, что никак не наладишь, запрокинутых зубок печаль — каждый снизу зазубрен как ландыш. 
Как я долго тебе не писал! По чащобам, свершая порубки, я на ландыши наступал — на твои задышавшие зубки. "
445	БЕЗОТЧЕТНОЕ	Монахиня моря	1980	"Я вижу тебя и полдень меж яблоков печеных, а утром пробегу — монахинею моря в мохнатом капюшоне стоишь на берегу. 
Ты страстно, как молитвы, читаешь километры. Твой треугольный кроль бескрайнюю разлуку молотит, как котлеты, но не смиряет кровь. 
Напрасно удлиняешь голодные дистанции. Желание растет. Как море ни имеешь — его все недостаточно. О, спорт! ты — черт... 
Когда швыряет буря ящики с шампанским 
серебряноголовые - как кулачок поддых, голая монахиня бесшабашная, бросаешься под них! 
Бледнея под загаром, ты выйдешь из каскадов. Потом кому-то скажешь, вернувшись в города: «Кого любила? Море...» И все ему расскажешь. За время поцелуя отрастает борода. "
446	БЕЗОТЧЕТНОЕ	"""Ты вышла на берег и села со мною..."""	1980	"Ты вышла на берег и села со мною, спиною шурша. Когда ж на плечах твоих высохло море, из моря ты вышла - и в море ушла. 
С тобой я проплыл, проводив до предела, как встарь — до угла. Примеривши море на длинное тело, из моря ты вышла - и в море ушла. 
Я помню, как после купания долгого в опавших подушечках пальцы твои опять расправлялись упругими дольками, от солнца наполнившись и любви... 
Потом облака золотели от зноя. И сонное солнце в Элладу ушло. И лебедю Леда, поправив рукою, сунет голову под крыло. 
Тебя потеряли дозорные вышки. Вода погремушкой застряла в ушах. Ко мне обернулись зеленью вспышки — из моря ты вышла — и в море ушла. "
447	БЕЗОТЧЕТНОЕ	Вестница	1983	"Я к вечеру шестого мая в глухом кукушкином лесу шел, просекою подымаясь, к электротягам на весу. 
Как вдруг, спланировав на провод, вольна причудой неземной, она, серебряная в профиль, закуковала надо мной. 
На расстоянье метров сорок, капризница моих тревог, вздымала ювелирно зорко свой беззаботнейший зобок. 
Судьбы прищепка бельевая, она причиною годов нечаянно повелевала. От них качался проводок. 
И я стоял, дурак счастливый, под драгоценным эхом их. Я был отсчитывать не в силах. Неважно сколько - но каких! 
О Боже, - думал, - как жемчужно ниспосланы наверняка — необъяснимая пичужка, нежданные твои века! "
448	БЕЗОТЧЕТНОЕ	"Школьник (""Твой кумир тебя взял на премьеру..."")"	1977	"Твой кумир тебя взял на премьеру. И Любимов — Ромео! И плечо твое онемело от присутствия слева. 
Что-то будет! Когда бы час пробил, жизнь ты б отдал с восторгом за омытый сиянием профиль в темноте над толстовкой. 
Вдруг любимовская рапира — повезло тебе, крестник! — обломившись, со сцены влепилась в ручку вашего кресла. 
Стало жутко и весело стало от такого событья! Ты кусок неразгаданной стали взял губами, забывшись. 
«Как люблю вас, Борис Леонидович! думал ты, — повезло мне родиться. 
Моя жизнь передачей больничною, может, вам пригодится...» 
Распрямись, мое детство согбенное. Детство. Самозабвенье. И пророческая рапира. И такая Россия!.. 
Через год пролетал он над нами в белом гробе на фоне небес, будто в лодке - откинутый навзничь, взявший весла на грудь — гребец. 
Это было не погребенье. Была воля небесная скул. Был над родиной выдох гребельный он по ней слишком сильно вздохнул. "
449	БЕЗОТЧЕТНОЕ	Трубадуры	1981	"Пусть наше дело давно труба, пускай прошли вы по нашим трупам, пускай вы живы, нас истребя, вы были — трупы, мы были — трубы! 
Средь исторической немоты какой божественною остудой в нас прорыдала труба Судьбы! Вы были — трусы, мы были —трубы. 
Вы стены строили от нас затем, что ваши женщины от нас в отрубе, но проходили мы сквозь толшу стен, на то и трубы! 
Пока будили мы тишину, подкрались нежные душегубы, 
мы лишь успели стряхнуть слюну... Живые трупы. Мертвые трубы. 
Мы трубадуры от слова «дуры». Вы были правы, нас растоптавши. Вы заселили все кубатуры. Пространство - ваше. Но время — 
наше. 
Разве признаетесь вы себе в звуконепроницаемых срубах, что вы завидуете трубе? Живите, трупы. Зовите, трубы! "
450	БЕЗОТЧЕТНОЕ	Кроны и корни	1960	"Несли не хоронить, несли короновать. 
Седее, чем гранит, как бронза — красноват, дымясь локомотивом, художник жил, лохмат, ему лопаты были божественней лампад! 
Его сирень томилась... Как звездопад, 
в поту, его спина дымилась 
буханкой на поду!.. 
Зияет дом его. Пустые этажи. 
На даче никого. В России - ни души. 
Художники уходят без шапок, будто в храм, в гудящие угодья к березам и дубам. 
Побеги их - победы. Уход их — как восход к полянам и планетам от ложных позолот. 
Леса роняют кроны. Но мощно под землей ворочаются корни корявой пятерней. "
451	БЕЗОТЧЕТНОЕ	Имена	1979	"Да какой же ты русский, раз не любишь стихи?! Тебе люди - гнилушки, а они - светляки. 
Да какой же ты узкий, если сердцем не брат каждой песне нерусской, где глаголы болят... 
Неужели с пеленок не бывал ты влюблен в родословный рифмовник отчеств после имен? 
Словно вздох миллионный повенчал имена: Марья Илларионовна, Злата Юрьевна. 
Ты, робея, окликнешь из имен времена, 
словно вызовешь Китеж из глубин Ильменя. 
Словно горе с надеждой позовет из окна колокольно-нездешне: Ольга Игоревна. 
Эти святцы-поэмы вслух слагала родня, словно жемчуг семейный завещав в имена. 
Что за музыка стона отразила судьбу и семью и историю вывозить на горбу? 
Словно в анестезии от хрустального сна имя - Анастасия Николаевна... "
452	БЕЗОТЧЕТНОЕ	Гекзаметры другу	1974	"Сокололетний Василий!
Сирин джинсовый,
художник в полете и в силе,
ржаной подковой
твой рот подковали усищи, Василий, 
юность сбисируй, Василий,
где начищали штиблеты нам властелины Ассирий.
Бросил ты пить. Ты не выпил шампанского ванну,
300 ящ. пива и море разочарований
(в детстве -  как фрески -  застиранные сатины),
мы -  европейцы, Василий, с поправкой на Византию,
бак политуры не допит плюс стопка мальвазии, 
мы —  византийцы с поправкой на Азию, 
мы -  азиаты с поправкой на техреволюцию, 
гаснут в витринах недопитые иллюзии.
Стали активами наши пассивы, Василий.
Имя, как птица, с ветки садится на ветку 
и с человека на человека.
Великолепно звучит, не плаксиво, 
велосипедное имя Василий.
Первая встреча: облчудище дуло -
нас не скосило.
Оба стояли пред оцепеневшей стихией.
Встреча вторая: над черной отцовской
могилой
я ощутил твою руку, Василий.
Бог упаси нам встретиться в третий, Василий...
Мы ли виновные в сроках, в коих дружили, 
что городские -  венозные -
реки нас отразили?
О венценосное имя -  Василий.
Тело мое, пробегая по ЦДЛу,
так просвистит твоему мимолетному телу:
«Ваш палец, Вас. Палыч! Сидите красиво».
О соловьиное имя —  Василий."
453	БЕЗОТЧЕТНОЕ	В полях безоглядных	1979	"В полях безоглядных -  подобье улыбки. 
Забытый на грядке 
наперсток клубники.
Куда-то ушли и воткнули лопату.
Над нею струится нога, что копала, 
и тело, что стало теперь, вероятно, 
дрожаньем улыбки в полях 
безоглядных."
454	БЕЗОТЧЕТНОЕ	Догадка	1982	"Ну почему он столько раз про ос, 
сосущих ось земную, произносит?
Он, не осознавая, произнес:
«Ося...»
Поэты любят имя повторять —
«Сергей», «Владимир» —  сквозь земную осыпь. 
Он имя позабыл, что он хотел сказать.
Он по себе вздохнул за тыщу лет назад:
«Ох, Осип...»"
455	БЕЗОТЧЕТНОЕ	Баллада-диссертация	1963	"Вчера мой доктор произнес: 
«Талант в вас, может, и возможен, 
но Ваш паяльник обморожен, 
не суйтесь из дому в мороз».
О нос!..
Неотвратимы, как часы,
у нас, у вас, у капуцинов
по всем
законам
Медицины
торжественно растут носы!
Они растут среди ночи 
у всех сограждан знаменитых, 
у сторожей, 
у замминистров, 
сопя бессонно, как сычи, 
они прохладны и косы, 
их бьют боксеры, 
щемят двери,
но в скважины, подобно дрели, 
соседок ввинчены носы!
(Их роль с мистической тревогой 
интуитивно чуял Гоголь.)Мой друг Букашкин пьяны были, 
им снился сон: 
подобно шпилю, 
сбивая люстры и тазы, 
пронзая потолки разбуженные, 
над ним 
рос 
нос,
как чеки в булочной, 
нанизывая этажи!
«К чему б?» —  гадал он поутру. 
Сказал я: «К Страшному суду.
К ревизии кредитных дел!»
30-го Букашкин сел.
О, вечный двигатель носов! 
Носы длиннее -  жизнь короче. 
На бледных лицах среди ночи, 
как коршун или же насос, 
нас всех высасывает нос,
и говорят, у эскимосов
есть поцелуй посредством носа...
Но это нам не привилось."
456	БЕЗОТЧЕТНОЕ	"Приятелю (""Твои вздохи нечисты..."")"	1990	"Твои вздохи нечисты,
у тебя в душе глисты.
Меня трижды продал ты. 
Твоей мукою унылой 
окисляются кресты.
Похристосуемся, милый,
Прости. "
457	БЕЗОТЧЕТНОЕ	Голубой погубай	1989	"К нам вселился голубой 
погубай.
Он умылся под струей, 
покупай.
Всех обидел голубой 
обругай.
Наряжается, как площадь Пигаль. 
Ночью кашляет, как Баба Ягай.
Был по телику художник Хукасай. 
Его имя переврал хулигай. 
Хулигай, хулигай!
Сам дурак -  не покупай.
Он, как трубка телефонная, 
висит.Целый день, не уставая, говорит. 
Он с Австралиек) подсоединен. 
Вечно занят голубой телефон.
Что ты ищешься у гостя в голове? -  
Может, мысль обнаружишь или две. 
Тебя били, хулигай, -  
ты все одно
говорил: ищу жемчужное зерно.
А вчера он заболел, погибай, 
Видно, мысль плохую съел невзначай! 
«У меня от кошки сердце болит; 
Аллергия от нее», -  говорит."
458	БЕЗОТЧЕТНОЕ	На экспорт	1983	"Внутри рефрижератора не
пошалишь. 
Наши лягушки поехали в Париж.
Будет обжираловка на Пале Рояль. 
Водитель, врежь, пожалуйста, 
Эллу Фицджеральд.Спят на пороге жизни 
комочки хрусталя.
Что же у таможни 
глаза на лбу?
Царевна размороженная 
качается в гробу.
Превратив в компьютеры, их вернет
Париж.
У наших лягушек мировой престиж.
Мимо —  две Германии.
В  хрустальной мерзлоте 
снятся им комарики 
без ДЦТ.
Снятся, как их в кринки 
клали, в молоко.
Как сто второй икринке 
без мамы нелегко!
Крали Заонежья 
наблюдают сны, 
как миллионерши 
заморожены.
Кровь, когда-то жидкая, 
стынет у нуля.Бриллианты сбросит, 
попудрит прыщ, 
потягиваясь, спросит: 
«Уже Париж?»
Превратиться в льдышку. 
Превратиться в сон.
И услышать: «Дышит!» —  
из иных времен.
В озере присниться 
или на реке, 
нефтяному принцу 
отказать в руке.
Почему не верим?
Подо что заем?
Почему царевен 
наших продаем?"
